ym,station,average,low,high
"			2010-01",108,-4.5,-8.1,-0.7
"			2010-02",108,1.4,-1.7,4.9
"			2010-03",108,4.3,0.5,8.1
"			2010-04",108,9.5,5.6,14
"			2010-05",108,17.2,13,22
"			2010-06",108,23.4,19.3,28.2
"			2010-07",108,25.8,23.1,29.3
"			2010-08",108,26.5,23.8,30
"			2010-09",108,21.8,18.5,26
"			2010-10",108,14.5,10.4,19.3
"			2010-11",108,6.5,2.5,11.3
"			2010-12",108,-1.3,-5.1,3.1
"			2011-01",108,-7.2,-10.5,-3.4
"			2011-02",108,1.2,-2.5,5.9
"			2011-03",108,3.6,-0.1,8.3
"			2011-04",108,10.7,6.8,15.6
"			2011-05",108,17.9,13.6,23
"			2011-06",108,22,18.4,26.6
"			2011-07",108,24.6,22,28
"			2011-08",108,25.8,23,29.5
"			2011-09",108,21.8,17.7,26.6
"			2011-10",108,14.2,9.7,19.3
"			2011-11",108,10.7,7.2,14.7
"			2011-12",108,-0.9,-4.1,2.9
"			2012-01",108,-2.8,-6.3,1.3
"			2012-02",108,-2,-6,3
"			2012-03",108,5.1,1.5,9.5
"			2012-04",108,12.3,7.8,17.9
"			2012-05",108,19.7,15.4,25.1
"			2012-06",108,24.1,20,29.7
"			2012-07",108,25.4,22.4,29
"			2012-08",108,27.1,23.9,30.9
"			2012-09",108,21,17.4,25
"			2012-10",108,15.3,11,20.5
"			2012-11",108,5.5,1.8,9.5
"			2012-12",108,-4.1,-7.4,-0.5
"			2013-01",108,-3.4,-6.6,0.3
"			2013-02",108,-1.2,-4.9,2.8
"			2013-03",108,5.1,0.7,10.8
"			2013-04",108,10,5.7,15
"			2013-05",108,18.2,13.7,23.6
"			2013-06",108,24.4,20.5,29.2
"			2013-07",108,25.5,23.4,28.3
"			2013-08",108,27.7,24.8,31.1
"			2013-09",108,21.8,18,25.9
"			2013-10",108,15.8,10.9,21.2
"			2013-11",108,6.2,2.1,10.7
"			2013-12",108,-0.2,-3.5,3.5
"			2014-01",108,-0.7,-4.9,3.5
"			2014-02",108,1.9,-1.8,6.6
"			2014-03",108,7.9,3.5,13.1
"			2014-04",108,14,9.4,19.6
"			2014-05",108,18.9,13.8,25.3
